id,nama,kode,kesatuan_id/id,kecabangan_id/id,kuota
tnix.posisi_dispenad,DISPENAD,DISPENAD,tnix.kesatuan_dispenad,,2
tnix.posisi_dispsiad,DISPSIAD,DISPSIAD,tnix.kesatuan_dispsiad,,2
tnix.posisi_ditajenad,DITAJENAD,DITAJENAD,tnix.kesatuan_ditajenad,,2
tnix.posisi_ditbekangad,DITBEKANGAD,DITBEKANGAD,tnix.kesatuan_ditbekangad,,2
tnix.posisi_dithubad,DITHUBAD,DITHUBAD,tnix.kesatuan_dithubad,,2
tnix.posisi_ditkuad,DITKUAD,DITKUAD,tnix.kesatuan_ditkuad,,2
tnix.posisi_ditkumad,DITKUMAD,DITKUMAD,tnix.kesatuan_ditkumad,,2
tnix.posisi_ditpalad,DITPALAD,DITPALAD,tnix.kesatuan_ditpalad,,2
tnix.posisi_dittopad,DITTOPAD,DITTOPAD,tnix.kesatuan_dittopad,,2
tnix.posisi_ditziad,DITZIAD,DITZIAD,tnix.kesatuan_ditziad,,2
tnix.posisi_kopassus,KOPASSUS,KOPASSUS,tnix.kesatuan_kopassus,,5
tnix.posisi_kostrad,KOSTRAD,KOSTRAD,tnix.kesatuan_kostrad,,5
tnix.posisi_makodiklat,MAKODIKLAT,MAKODIKLAT,tnix.kesatuan_makodiklat,,2
tnix.posisi_pusintelad,PUSINTELAD,PUSINTELAD,tnix.kesatuan_pusintelad,,2
tnix.posisi_puskesad,PUSKESAD,PUSKESAD,tnix.kesatuan_puskesad,,2
tnix.posisi_puskodal,PUSKODAL,PUSKODAL,tnix.kesatuan_puskodal,,2
tnix.posisi_puspenerbad,PUSPENERBAD,PUSPENERBAD,tnix.kesatuan_puspenerbad,,2
tnix.posisi_puspomad,PUSPOMAD,PUSPOMAD,tnix.kesatuan_puspomad,,2
tnix.posisi_pussenarhanud,PUSSENARHANUD,PUSSENARHANUD,tnix.kesatuan_pussenarhanud,,2
tnix.posisi_pussenarmed,PUSSENARMED,PUSSENARMED,tnix.kesatuan_pussenarmed,tnix.arm,2
tnix.posisi_pussenif,PUSSENIF,PUSSENIF,tnix.kesatuan_pussenif,,2
tnix.posisi_pussenkav,PUSSENKAV,PUSSENKAV,tnix.kesatuan_pussenkav,,2
tnix.posisi_pusterad,PUSTERAD,PUSTERAD,tnix.kesatuan_pusterad,,2
tnix.posisi_secapaad,SECAPAAD,SECAPAAD,tnix.kesatuan_secapaad,,2
tnix.posisi_seskoad,SESKOAD,SESKOAD,tnix.kesatuan_seskoad,,2
tnix.posisi_setumad,SETUMAD,SETUMAD,tnix.kesatuan_setumad,,2
tnix.posisi_kemhan,KEMHAN,KEMHAN,tnix.kesatuan_kemhan,,2
tnix.posisi_lemhannas,LEMHANNAS,LEMHANNAS,tnix.kesatuan_lemhannas,,2
tnix.posisi_mabes,MABES,MABES,tnix.kesatuan_mabes,,2
tnix.posisi_mabesad,MABES AD,MABESAD,tnix.kesatuan_mabesad,,2
tnix.posisi_dilmil,Pengadilan Militer,DILMIL,tnix.kesatuan_dilmil,tnix.chk,2
tnix.posisi_akmil,AKMIL,AKMIL,tnix.kesatuan_akmil,,2
